Date,Open,High,Low,Close,Volume,MA7,MA30,Daily_Return,Volatility_Amplitude,Dist_MA7,Dist_MA30,Volume_MA7,Volume_Momentum,Next_Day_Close,Target,Close_SP500,Return_SP500,Return_SP500_Yesterday,Correlation_BTC_SP500,RSI_14
2023-12-02,39450.35,40250.0,39274.86,39972.26,26710.65335,38392.18571428571,37016.615333333335,0.0132295404223284,0.0247181583940319,0.0411561430097569,0.0798464322048677,31729.037310000003,-0.1581637637148973,41991.1,1,4594.6298828125,0.0,0.005873742123607695,0.17614988086876984,72.30672294167445
2023-12-03,39972.26,42420.0,39972.26,41991.1,79272.33059,39070.52857142856,37247.583,0.0505060259289816,0.0612359671432137,0.0747512648371792,0.1273510015401536,38767.78828571429,1.044798893498173,44073.32,1,4594.6298828125,0.0,0.0,0.13647949145979932,78.478822435647
2023-12-04,41991.1,44488.0,41414.0,44073.32,67490.74644,39964.02142857143,37549.63100000001,0.0495871744250567,0.0732059888881215,0.1028249516574105,0.1737351027497444,43045.82825285714,0.5678812367960498,43762.69,0,4569.77978515625,-0.005408509126972105,0.0,0.041638236743356316,82.74928614095076
2023-12-05,44073.82,44297.21,43335.28,43762.69,51431.10492,40808.02857142857,37840.18433333333,-0.0070592927955869,0.0218254283381835,0.0724039247178952,0.1565136579276531,45679.67308857143,0.1259079026304922,43273.14,0,4567.18017578125,-0.0005688697261614362,-0.005408509126972105,0.04700737733079873,80.19278627656726
2023-12-06,43762.69,44047.33,42821.1,43273.14,47103.26845,41600.76857142857,38102.65166666666,-0.0111864695703121,0.0280199868883746,0.0402004935485739,0.1356989108938221,48874.384085714286,-0.0362381167322366,44170.99,1,4549.33984375,-0.003906202808869552,-0.0005688697261614362,0.07134190565329111,76.19738917116857
2023-12-07,43273.15,44700.0,43081.1,44170.99,42900.37556,42384.83571428571,38387.52733333333,0.0207482006740899,0.0374111891554,0.0421413521041976,0.1506599426539431,48800.77156,-0.1209078424660874,43713.6,0,4585.58984375,0.007968189065892917,-0.003906202808869552,0.09153853984265808,78.32983622288813
2023-12-08,44171.0,44358.02,43584.51,43713.6,24925.97008,42993.87142857143,38621.27766666667,-0.010355210432184,0.0175117158316541,0.0167402596582701,0.1318527672047582,48547.77848428571,-0.4865682661860992,43789.51,1,4604.3701171875,0.00409549786994079,0.007968189065892917,0.08464267643381664,74.66030182145832
2023-12-09,43713.59,44049.0,43563.0,43789.51,18956.61758,43539.19285714285,38837.54033333333,0.0017367596667307,0.0111178239993558,0.0057492370995133,0.1275047189952066,47440.05908857143,-0.6004090647398297,41253.4,0,4604.3701171875,0.0,0.00409549786994079,0.11957793558079134,74.8707092101134
2023-12-10,43789.5,43804.5,40222.0,41253.4,76663.89804,43433.80714285715,38974.987,-0.0579157103871932,0.0818118498726863,-0.0502006912653459,0.0584583389341478,47067.42586714285,0.6288100873924795,41492.39,1,4604.3701171875,0.0,0.0,0.19212572801176137,57.64811899346185
2023-12-11,41253.41,42104.12,40680.0,41492.39,42722.69773,43065.10285714285,39122.59566666667,0.0057929756594665,0.0345212674540117,-0.0365194264683383,0.0605735456186116,43529.133194285714,-0.018526338686468,42869.03,1,4622.43994140625,0.003924494286698943,0.0,0.19043905412487694,58.61424490694873
