Date,Open,High,Low,Close,Volume,MA7,MA30,Daily_Return,Volatility_Amplitude,Dist_MA7,Dist_MA30,Volume_MA7,Volume_Momentum,Next_Day_Close,Target
2023-11-16,36163.51,36800.0,35861.1,36613.92,38283.61112,36691.98285714286,34586.971,0.012454819789340033,0.025962634711066527,-0.0021275180860841386,0.05860440915742522,36902.45262857143,0.037427281740054844,36568.1,0
2023-11-17,36613.91,36845.49,36178.58,36568.1,17102.24186,36611.71142857143,34848.784,-0.00125116383363604,0.018214662132506367,-0.0011911879251127952,0.0493364703916211,36062.06255857143,-0.5257553049767243,37359.86,1
2023-11-18,36568.11,37500.0,36384.02,37359.86,21246.34648,36653.95857142857,35105.14466666667,0.02165137875597071,0.03051784738122925,0.019258531849863363,0.06422749015115867,36570.51366428572,-0.41903067933254373,37448.78,1
2023-11-19,37359.85,37750.0,36677.0,37448.78,36022.70291,36794.794285714284,35356.443999999996,0.002380362876189286,0.028720672058372827,0.017773865216026682,0.05917834949691217,37031.15943428571,-0.027232647848234065,35741.65,0
2023-11-20,37448.79,37649.44,35735.0,35741.65,47646.54804,36822.002857142856,35548.083666666666,-0.04558598555520751,0.051121544915069414,-0.029339872177357233,0.00544519741622085,37337.28284571428,0.27611182197927553,37408.34,1
2023-11-21,35741.65,37861.1,35632.01,37408.34,45051.30697,36757.73714285714,35692.69533333333,0.04663159087507138,0.06236673460794329,0.017699752697352345,0.04806710870793863,36120.45043428572,0.24725208097729215,37294.28,0
2023-11-22,37408.35,37653.44,36870.0,37294.28,23827.92882,36919.275714285715,35805.08033333333,-0.003049319202798298,0.020942917824496466,0.010157411770924248,0.04159185380406122,32740.09802857143,-0.27220960672732286,37713.57,1
2023-11-23,37294.27,38414.0,37251.51,37713.57,44680.80646,37076.368571428575,35912.331,0.011243014007245696,0.031170740170004617,0.01718618767487544,0.05015656043045497,33653.98307714285,0.32765284743803047,37780.67,1
2023-11-24,37713.57,37888.0,37591.1,37780.67,11396.14464,37249.59285714286,36033.297999999995,0.0017792004310384444,0.007872497883387902,0.014257260338224106,0.04849325754195476,32838.82633142857,-0.6529673586691721,37447.43,0
2023-11-25,37780.67,37814.63,37150.0,37447.43,21264.53723,37262.102857142854,36151.81166666667,-0.008820383545342049,0.017591800251292457,0.00497360934157854,0.035838268501712206,32841.42501,-0.3525086921920992,37242.7,0
2023-11-26,37447.42,37569.23,36707.0,37242.7,30001.07376,37232.66285714285,36257.20166666667,-0.00546686527402959,0.023025084238113152,0.0002695789687580636,0.027180761008353125,31981.192274285713,-0.06191509363701291,37818.87,1
2023-11-27,37242.7,38377.0,36868.41,37818.87,37544.46667,37529.40857142857,36366.96766666666,0.01547068284522888,0.04050699868699092,0.007712922734194204,0.039923656727204535,30538.037792857147,0.2294328445287883,37854.64,1
2023-11-28,37818.88,38450.0,37570.0,37854.64,32994.19107,37593.16571428571,36479.63133333333,0.0009455594665945168,0.023268801191362622,0.0069553675713702814,0.03769250445824138,28815.592664285712,0.14501171134658905,37723.96,0
2023-11-29,37854.65,38145.85,37500.0,37723.96,24740.29147,37654.54857142857,36582.437666666665,-0.003452416017583106,0.01706131215055478,0.0018433743386874425,0.031204107931098075,28945.93018571429,-0.14529291989344678,38682.52,1
2023-11-30,37723.97,38999.0,37615.86,38682.52,43415.66324,37792.969999999994,36691.140666666666,0.025409573806786392,0.036664751880568225,0.023537446249924338,0.05427411896034259,28765.195440000003,0.5093122982793123,39450.35,1
2023-12-01,38682.51,39717.14,38641.61,39450.35,26696.92161,38031.49571428571,36841.43266666667,0.01984979775097315,0.027804038569368916,0.037307349055465296,0.07081476328399745,30951.02072142857,-0.13744616533707055,39972.26,1
2023-12-02,39450.35,40250.0,39274.86,39972.26,26710.65335,38392.18571428571,37016.615333333335,0.013229540422328408,0.024718158394031978,0.04115614300975695,0.07984643220486771,31729.037310000003,-0.15816376371489735,41991.1,1
2023-12-03,39972.26,42420.0,39972.26,41991.1,79272.33059,39070.52857142857,37247.583,0.05050602592898166,0.06123596714321376,0.07475126483717903,0.12735100154015364,38767.78828571429,1.0447988934981727,44073.32,1
2023-12-04,41991.1,44488.0,41414.0,44073.32,67490.74644,39964.02142857143,37549.631,0.049587174425056765,0.07320598888812153,0.10282495165741032,0.17373510274974469,43045.82825285714,0.5678812367960498,43762.69,0
2023-12-05,44073.82,44297.21,43335.28,43762.69,51431.10492,40808.02857142857,37840.18433333333,-0.007059292795586981,0.021825428338183538,0.07240392471789521,0.15651365792765312,45679.67308857143,0.12590790263049229,43273.14,0
2023-12-06,43762.69,44047.33,42821.1,43273.14,47103.26845,41600.76857142857,38102.65166666666,-0.011186469570312128,0.02801998688837462,0.04020049354857391,0.13569891089382213,48874.384085714286,-0.03623811673223663,44170.99,1
2023-12-07,43273.15,44700.0,43081.1,44170.99,42900.37556,42384.83571428571,38387.527333333324,0.020748200674089973,0.03741118915540009,0.04214135210419762,0.15065994265394314,48800.77156,-0.12090784246608745,43713.6,0
2023-12-08,44171.0,44358.02,43584.51,43713.6,24925.97008,42993.87142857142,38621.27766666667,-0.010355210432184046,0.017511715831654135,0.016740259658270328,0.13185276720475828,48547.77848428571,-0.4865682661860992,43789.51,1
2023-12-09,43713.59,44049.0,43563.0,43789.51,18956.61758,43539.19285714285,38837.54033333333,0.0017367596667307705,0.011117823999355807,0.005749237099513327,0.12750471899520666,47440.05908857143,-0.6004090647398297,41253.4,0
2023-12-10,43789.5,43804.5,40222.0,41253.4,76663.89804,43433.80714285715,38974.986999999994,-0.057915710387193245,0.08181184987268637,-0.05020069126534591,0.058458338934147897,47067.425867142854,0.6288100873924795,41492.39,1
2023-12-11,41253.41,42104.12,40680.0,41492.39,42722.69773,43065.10285714286,39122.59566666667,0.005792975659466597,0.03452126745401174,-0.03651942646833848,0.06057354561861164,43529.133194285714,-0.01852633868646801,42869.03,1
2023-12-12,41492.38,43475.2,40555.0,42869.03,45865.99773,42937.43714285714,39336.132333333335,0.03317838118709993,0.07037918769663243,-0.001593181787481707,0.08981304101605576,42734.117881428574,0.07328757451508046,43022.26,1
2023-12-13,42869.03,43420.0,41400.0,43022.26,42047.05709,42901.59714285714,39585.168,0.0035743752541170914,0.04712026374284653,0.0028125493030263272,0.0868277734731353,42011.801972857145,0.0008391717443025719,41940.3,0
2023-12-14,43022.26,43080.81,41666.0,41940.3,33421.7932,42582.927142857145,39721.238000000005,-0.02514884155318663,0.03288553413976852,-0.015091192315203159,0.05586588212582895,40657.71877857143,-0.17797175532595566,42278.03,1
2023-12-15,41940.29,42724.43,41605.0,42278.03,24118.85747,42377.845714285715,39925.05533333333,0.008052877078341566,0.026691041001385547,-0.0023553749041109948,0.05893478786746167,40542.41697714286,-0.4050957178108594,41374.65,0
2023-12-16,42278.02,42424.07,41252.0,41374.65,27722.11452,42032.86571428571,40083.746333333336,-0.021367367724410828,0.02772291606844407,-0.015659548857788266,0.032205165054473954,41794.63082571429,-0.33670631915370636,42657.8,1
2023-12-17,41374.64,42757.81,40542.93,42657.8,46734.0925,42233.49428571429,40286.736333333334,0.031013200356546995,0.05353230867990628,0.01004666370760702,0.05885469716505294,37518.94432,0.2456132054623864,42275.99,0
2023-12-18,42657.8,43497.0,41811.1,42275.99,40927.86444,42345.43714285714,40450.60733333333,-0.008950531907412124,0.03952149431053644,-0.0016400147818253386,0.04512621161963266,37262.53956428571,0.09836487041874403,43668.93,1
2023-12-19,42275.99,44283.0,42206.0,43668.93,48710.2947,42459.70857142857,40657.945666666674,0.03294872574243684,0.04912954137797838,0.028479268211113497,0.07405647983345788,37668.86770285714,0.2931181017767991,43861.8,1
2023-12-20,43668.92,44242.35,43286.72,43861.8,34624.29384,42579.642857142855,40928.617333333335,0.004416871312594968,0.021883527231724473,0.030111975038373588,0.0716658137453817,36608.47295285714,-0.054199996689626606,43969.04,1
2023-12-21,43861.79,44398.26,43412.54,43969.04,32783.19638,42869.462857142855,41147.30733333334,0.002445180645842315,0.02247331903235142,0.02564942664482058,0.06857636257478224,36517.24483571428,-0.10225438618146612,43702.16,0
2023-12-22,43969.04,43988.68,43291.1,43702.16,16557.1293,43072.909999999996,41360.903333333335,-0.006069725424980791,0.015865254278919935,0.014608950265956197,0.05660554963701231,35436.99795428571,-0.5327728008631273,42991.5,0
2023-12-23,43702.15,43946.0,42500.0,42991.5,25144.33496,43303.888571428564,41536.83433333333,-0.01626121369314785,0.03308761697078977,-0.00721386881719151,0.035021100909928944,35068.74373142857,-0.28299869671505584,43576.13,1
2023-12-24,42991.5,43802.32,42720.43,43576.13,27021.23992,43435.07857142857,41730.01633333333,0.0135987346335903,0.0251652070758173,0.00324740815973138,0.04423946666879244,32252.62193428571,-0.16220020886812186,42508.93,0
2023-12-25,43576.12,43592.68,41637.6,42508.93,41010.04282,43468.35571428571,41898.733,-0.02449024832867181,0.0448658577220735,-0.022071819799026764,0.014563614608584945,32264.361702857143,0.2710631996283501,43428.85,1
2023-12-26,42508.93,43677.0,42098.69,43428.85,36191.21136,43434.05857142857,42104.937999999995,0.02164062939245938,0.037128904444313174,-0.00011991905891100775,0.031443152819747744,30475.92122571429,0.18753461435854454,42563.76,0
2023-12-27,43428.86,43787.57,42241.79,42563.76,35150.52485,43248.624285714286,42263.101,-0.019919933426758116,0.03559338191239648,-0.015835516089248318,0.007113983424926619,30551.097084285717,0.15054869398061813,42066.95,0
